ID,Prefecture,Capital,Population,Area,Density
1,Aichi,Nagoya,"70,43,235","5,153.81","1,366"
2,Akita,Akita,"11,89,215","11,612.11",102
3,Aomori,Aomori,"14,75,635","9,606.26",154
4,Chiba,Chiba,"59,26,349","5,156.15","1,149"
5,Ehime,Matsuyama,"14,93,126","5,676.44",263
6,Fukui,Fukui,"8,28,960","4,188.76",198
7,Fukuoka,Fukuoka,"50,15,666","4,971.01","1,009"
8,Fukushima,Fukushima,"21,26,998","13,782.54",154
9,Gifu,Gifu,"21,07,687","10,598.18",199
10,Gunma,Maebashi,"20,24,820","6,363.16",318
11,Hiroshima,Hiroshima,"28,78,949","8,476.95",340
12,Hokkaido,Sapporo,"56,82,950","83,452.47",68
13,Hyogo,Kobe,"55,50,742","8,392.42",661
14,Ibaraki,Mito,"29,85,424","6,095.62",490
15,Ishikawa,Kanazawa,"11,80,935","4,185.32",282
16,Iwate,Morioka,"14,16,198","15,278.51",93
17,Kagawa,Takamatsu,"10,22,843","1,861.70",549
18,Kagoshima,Kagoshima,"17,86,214","9,132.42",196
19,Kanagawa,Yokohama,"84,89,932","2,415.42","3,515"
20,Kochi,Kochi,"8,13,980","7,104.70",115
21,Kumamoto,Kumamoto,"18,59,451","6,908.45",269
22,Kyoto,Kyoto,"26,44,331","4,612.93",573
23,Mie,Tsu,"18,57,365","5,760.72",322
24,Miyagi,Sendai,"23,65,204","7,285.16",325
25,Miyazaki,Miyazaki,"11,70,023","6,684.67",175
26,Nagano,Nagano,"22,14,409","12,598.48",163
27,Nagasaki,Nagasaki,"15,16,536","4,092.80",371
28,Nara,Nara,"14,42,862","3,691.09",391
29,Niigata,Niigata,"24,75,724","12,582.37",197
30,Oita,Oita,"12,21,128","5,804.24",210
31,Okayama,Okayama,"19,50,656","7,008.63",278
32,Okinawa,Naha,"13,18,281","2,271.30",580
33,Osaka,Osaka,"88,04,806","1,893.18","4,652"
34,Saga,Saga,"8,76,664","2,439.23",359
35,Saitama,Saitama,"69,38,004","3,767.09","1,827"
36,Shiga,Otsu,"13,42,811","4,017.36",334
37,Shimane,Matsue,"7,61,499","6,707.32",114
38,Shizuoka,Shizuoka,"37,67,427","7,328.61",484
39,Tochigi,Utsunomiya,"20,04,787","6,408.28",313
40,Tokushima,Tokushima,"8,23,997","4,145.26",199
41,Tokyo,Tokyo,"1,20,59,237","2,187.08","5,514"
42,Tottori,Tottori,"6,13,229","3,507.19",175
43,Toyama,Toyama,"11,20,843","4,247.22",264
44,Wakayama,Wakayama,"10,69,839","4,725.55",226
45,Yamagata,Yamagata,"12,44,040","9,323.34",133
46,Yamaguchi,Yamaguchi,"15,28,107","6,110.76",250
47,Yamanashi,Kofu,"8,88,170","4,465.37",199
